Location,Age_Group,Population,Week,People_Tested,All_Test_Results,Positives,Hospitalizations,Deaths
All King County,80+,61987.13,07/08/20 - 07/14/20,855,911,15,6,8
All King County,Unknown,0,07/08/20 - 07/14/20,12,12,1,0,0
All King County,0-9,257228.65,07/15/20 - 07/21/20,978,981,67,0,0
All King County,10-19,254148.03,07/15/20 - 07/21/20,2354,2408,142,0,0
All King County,20-29,207537.14,07/15/20 - 07/21/20,8609,8828,316,2,0
All King County,30-39,394262.07,07/15/20 - 07/21/20,7822,8024,271,6,0
All King County,40-49,296609.58,07/15/20 - 07/21/20,4791,4886,190,9,0
All King County,50-59,270375.02,07/15/20 - 07/21/20,4632,4723,157,10,0
All King County,60-69,219475.51,07/15/20 - 07/21/20,3560,3657,77,14,3
All King County,70-79,122090.34,07/15/20 - 07/21/20,2061,2135,47,10,2
All King County,80+,61987.13,07/15/20 - 07/21/20,1188,1253,32,4,3
All King County,Unknown,0,07/15/20 - 07/21/20,74,74,1,0,0
All King County,0-9,257228.65,07/22/20 - 07/28/20,1021,1028,84,2,0
All King County,10-19,254148.03,07/22/20 - 07/28/20,2284,2345,116,0,0
All King County,20-29,207537.14,07/22/20 - 07/28/20,7815,8075,310,3,0
All King County,30-39,394262.07,07/22/20 - 07/28/20,7093,7298,240,8,0
All King County,40-49,296609.58,07/22/20 - 07/28/20,4459,4593,171,4,0
All King County,50-59,270375.02,07/22/20 - 07/28/20,4242,4344,164,8,2
All King County,60-69,219475.51,07/22/20 - 07/28/20,3278,3363,102,14,1
All King County,70-79,122090.34,07/22/20 - 07/28/20,2001,2088,42,7,0
All King County,80+,61987.13,07/22/20 - 07/28/20,1165,1252,30,8,7
All King County,Unknown,0,07/22/20 - 07/28/20,371,372,0,0,0
All King County,0-9,257228.65,07/29/20 - 08/04/20,1062,1071,75,1,0
All King County,10-19,254148.03,07/29/20 - 08/04/20,2435,2474,130,0,0
All King County,20-29,207537.14,07/29/20 - 08/04/20,8019,8417,218,5,0
All King County,30-39,394262.07,07/29/20 - 08/04/20,7115,7326,179,8,0
All King County,40-49,296609.58,07/29/20 - 08/04/20,4459,4596,123,11,0
All King County,50-59,270375.02,07/29/20 - 08/04/20,4160,4265,106,8,2
All King County,60-69,219475.51,07/29/20 - 08/04/20,3233,3339,99,18,1
All King County,70-79,122090.34,07/29/20 - 08/04/20,1896,1958,42,6,5
All King County,80+,61987.13,07/29/20 - 08/04/20,1287,1340,38,14,15
All King County,Unknown,0,07/29/20 - 08/04/20,126,127,1,0,0
All King County,0-9,257228.65,08/05/20 - 08/11/20,1255,1271,54,0,0
All King County,10-19,254148.03,08/05/20 - 08/11/20,2913,2990,161,0,0
All King County,20-29,207537.14,08/05/20 - 08/11/20,7728,8136,188,1,0
All King County,30-39,394262.07,08/05/20 - 08/11/20,7341,7598,189,3,0
All King County,40-49,296609.58,08/05/20 - 08/11/20,4797,4989,148,7,0
All King County,50-59,270375.02,08/05/20 - 08/11/20,4387,4545,137,10,2
All King County,60-69,219475.51,08/05/20 - 08/11/20,3406,3497,70,11,3
All King County,70-79,122090.34,08/05/20 - 08/11/20,2050,2116,41,10,3
All King County,80+,61987.13,08/05/20 - 08/11/20,1328,1390,27,11,9
All King County,Unknown,0,08/05/20 - 08/11/20,85,87,0,0,0
All King County,0-9,257228.65,08/12/20 - 08/18/20,1270,1285,49,0,0
All King County,10-19,254148.03,08/12/20 - 08/18/20,3100,3187,123,0,0
All King County,20-29,207537.14,08/12/20 - 08/18/20,8592,9040,193,4,0
All King County,30-39,394262.07,08/12/20 - 08/18/20,8088,8373,189,6,0
All King County,40-49,296609.58,08/12/20 - 08/18/20,5150,5344,162,4,1
All King County,50-59,270375.02,08/12/20 - 08/18/20,4790,4942,122,12,2
All King County,60-69,219475.51,08/12/20 - 08/18/20,3553,3675,61,11,2
All King County,70-79,122090.34,08/12/20 - 08/18/20,1969,2052,36,13,2
All King County,80+,61987.13,08/12/20 - 08/18/20,1231,1314,34,11,13
All King County,Unknown,0,08/12/20 - 08/18/20,56,56,0,0,0
All King County,0-9,257228.65,08/19/20 - 08/25/20,1242,1252,53,0,0
All King County,10-19,254148.03,08/19/20 - 08/25/20,2594,2654,104,0,0
All King County,20-29,207537.14,08/19/20 - 08/25/20,7963,8834,171,2,0
All King County,30-39,394262.07,08/19/20 - 08/25/20,7454,7894,148,7,0
All King County,40-49,296609.58,08/19/20 - 08/25/20,4512,4816,125,5,0
All King County,50-59,270375.02,08/19/20 - 08/25/20,4349,4555,97,13,0
All King County,60-69,219475.51,08/19/20 - 08/25/20,3403,3533,75,14,1
All King County,70-79,122090.34,08/19/20 - 08/25/20,1999,2064,26,6,2
All King County,80+,61987.13,08/19/20 - 08/25/20,1377,1444,16,6,4
All King County,Unknown,0,08/19/20 - 08/25/20,38,38,0,0,0
All King County,0-9,257228.65,08/26/20 - 09/01/20,1134,1143,50,0,0
All King County,10-19,254148.03,08/26/20 - 09/01/20,2358,2434,114,1,0
All King County,20-29,207537.14,08/26/20 - 09/01/20,8384,9278,164,1,0
All King County,30-39,394262.07,08/26/20 - 09/01/20,7671,8136,137,2,0
All King County,40-49,296609.58,08/26/20 - 09/01/20,4389,4698,112,6,0
All King County,50-59,270375.02,08/26/20 - 09/01/20,4256,4471,86,7,0
All King County,60-69,219475.51,08/26/20 - 09/01/20,3478,3610,67,6,1
All King County,70-79,122090.34,08/26/20 - 09/01/20,1992,2072,17,3,3
All King County,80+,61987.13,08/26/20 - 09/01/20,1224,1297,11,2,5
All King County,Unknown,0,08/26/20 - 09/01/20,30,30,0,0,0
All King County,0-9,257228.65,09/02/20 - 09/08/20,1094,1107,34,1,0
All King County,10-19,254148.03,09/02/20 - 09/08/20,2117,2178,77,2,0
All King County,20-29,207537.14,09/02/20 - 09/08/20,7234,8024,145,5,0
All King County,30-39,394262.07,09/02/20 - 09/08/20,6741,7176,132,3,0
All King County,40-49,296609.58,09/02/20 - 09/08/20,3857,4155,81,6,0
All King County,50-59,270375.02,09/02/20 - 09/08/20,3715,3902,75,5,2
All King County,60-69,219475.51,09/02/20 - 09/08/20,2945,3061,52,6,1
All King County,70-79,122090.34,09/02/20 - 09/08/20,1728,1795,20,7,1
All King County,80+,61987.13,09/02/20 - 09/08/20,1436,1517,22,3,5
All King County,Unknown,0,09/02/20 - 09/08/20,29,29,0,0,0
All King County,0-9,257228.65,09/09/20 - 09/15/20,1125,1134,32,0,0
All King County,10-19,254148.03,09/09/20 - 09/15/20,2207,2267,96,0,0
All King County,20-29,207537.14,09/09/20 - 09/15/20,7932,8425,148,0,0
All King County,30-39,394262.07,09/09/20 - 09/15/20,6660,6945,96,2,1
All King County,40-49,296609.58,09/09/20 - 09/15/20,3985,4190,83,1,0
All King County,50-59,270375.02,09/09/20 - 09/15/20,3967,4133,78,6,0
All King County,60-69,219475.51,09/09/20 - 09/15/20,3232,3344,41,5,1
All King County,70-79,122090.34,09/09/20 - 09/15/20,1994,2067,15,5,1
All King County,80+,61987.13,09/09/20 - 09/15/20,1434,1514,9,2,3
All King County,Unknown,0,09/09/20 - 09/15/20,48,48,0,0,0
All King County,0-9,257228.65,09/16/20 - 09/22/20,1251,1267,27,1,0
All King County,10-19,254148.03,09/16/20 - 09/22/20,2438,2519,61,0,0
All King County,20-29,207537.14,09/16/20 - 09/22/20,7849,8508,153,2,1
All King County,30-39,394262.07,09/16/20 - 09/22/20,6818,7184,94,2,0
All King County,40-49,296609.58,09/16/20 - 09/22/20,4082,4336,75,8,0
All King County,50-59,270375.02,09/16/20 - 09/22/20,4142,4344,71,9,0
All King County,60-69,219475.51,09/16/20 - 09/22/20,3295,3416,33,4,4
All King County,70-79,122090.34,09/16/20 - 09/22/20,1843,1916,16,5,2
All King County,80+,61987.13,09/16/20 - 09/22/20,1145,1197,11,5,0
All King County,Unknown,0,09/16/20 - 09/22/20,43,43,0,0,0
All King County,0-9,257228.65,09/23/20 - 09/29/20,1402,1430,35,1,0
All King County,10-19,254148.03,09/23/20 - 09/29/20,2969,3094,96,2,1
All King County,20-29,207537.14,09/23/20 - 09/29/20,8522,9252,183,1,0
All King County,30-39,394262.07,09/23/20 - 09/29/20,8106,8520,134,1,0
All King County,40-49,296609.58,09/23/20 - 09/29/20,4831,5096,119,1,0
All King County,50-59,270375.02,09/23/20 - 09/29/20,4585,4792,100,7,0
All King County,60-69,219475.51,09/23/20 - 09/29/20,3625,3778,61,11,0
All King County,70-79,122090.34,09/23/20 - 09/29/20,1991,2050,19,4,2
All King County,80+,61987.13,09/23/20 - 09/29/20,1187,1252,16,9,1
All King County,Unknown,0,09/23/20 - 09/29/20,37,37,0,0,0
All King County,0-9,257228.65,09/30/20 - 10/06/20,1648,1676,61,0,0
All King County,10-19,254148.03,09/30/20 - 10/06/20,3224,3589,195,1,0
All King County,20-29,207537.14,09/30/20 - 10/06/20,9622,10612,240,3,0
All King County,30-39,394262.07,09/30/20 - 10/06/20,9032,9513,175,5,1
All King County,40-49,296609.58,09/30/20 - 10/06/20,5653,5947,119,3,0
All King County,50-59,270375.02,09/30/20 - 10/06/20,5138,5374,107,7,0
All King County,60-69,219475.51,09/30/20 - 10/06/20,4020,4176,75,11,2
All King County,70-79,122090.34,09/30/20 - 10/06/20,2298,2408,33,11,0
All King County,80+,61987.13,09/30/20 - 10/06/20,1280,1375,22,9,12
All King County,Unknown,0,09/30/20 - 10/06/20,58,58,19,0,0
All King County,0-9,257228.65,10/07/20 - 10/13/20,1935,1958,78,0,0
All King County,10-19,254148.03,10/07/20 - 10/13/20,3505,3799,125,2,0
All King County,20-29,207537.14,10/07/20 - 10/13/20,11322,12251,228,1,0
All King County,30-39,394262.07,10/07/20 - 10/13/20,11092,11660,252,7,0
All King County,40-49,296609.58,10/07/20 - 10/13/20,6574,6925,176,3,0
All King County,50-59,270375.02,10/07/20 - 10/13/20,6089,6397,120,7,0
All King County,60-69,219475.51,10/07/20 - 10/13/20,4538,4699,72,6,2
All King County,70-79,122090.34,10/07/20 - 10/13/20,2410,2506,35,9,5
All King County,80+,61987.13,10/07/20 - 10/13/20,1412,1525,16,7,4
All King County,Unknown,0,10/07/20 - 10/13/20,30,30,0,0,0
All King County,0-9,257228.65,10/14/20 - 10/20/20,1835,1860,63,2,0
All King County,10-19,254148.03,10/14/20 - 10/20/20,3118,3297,132,2,0
All King County,20-29,207537.14,10/14/20 - 10/20/20,10302,11015,254,2,0
All King County,30-39,394262.07,10/14/20 - 10/20/20,9731,10129,220,6,0
All King County,40-49,296609.58,10/14/20 - 10/20/20,6026,6266,177,6,0
All King County,50-59,270375.02,10/14/20 - 10/20/20,5710,5914,123,13,0
All King County,60-69,219475.51,10/14/20 - 10/20/20,4578,4755,71,7,4
All King County,70-79,122090.34,10/14/20 - 10/20/20,2372,2474,28,17,0
All King County,80+,61987.13,10/14/20 - 10/20/20,1411,1525,16,7,2
All King County,Unknown,0,10/14/20 - 10/20/20,34,34,0,0,0
All King County,0-9,257228.65,10/21/20 - 10/27/20,1894,1920,70,0,0
All King County,10-19,254148.03,10/21/20 - 10/27/20,3424,3606,160,0,0
All King County,20-29,207537.14,10/21/20 - 10/27/20,11228,11851,335,2,0
All King County,30-39,394262.07,10/21/20 - 10/27/20,10376,10775,330,5,0
All King County,40-49,296609.58,10/21/20 - 10/27/20,6292,6512,216,3,0
All King County,50-59,270375.02,10/21/20 - 10/27/20,5849,6060,165,7,0
All King County,60-69,219475.51,10/21/20 - 10/27/20,4410,4556,114,7,2
All King County,70-79,122090.34,10/21/20 - 10/27/20,2274,2377,41,9,2
All King County,80+,61987.13,10/21/20 - 10/27/20,1193,1285,31,13,9
All King County,Unknown,0,10/21/20 - 10/27/20,49,50,0,0,0
All King County,0-9,257228.65,10/28/20 - 11/03/20,1795,1833,146,2,0
All King County,10-19,254148.03,10/28/20 - 11/03/20,4100,4320,226,0,0
All King County,20-29,207537.14,10/28/20 - 11/03/20,13062,13616,516,6,0
All King County,30-39,394262.07,10/28/20 - 11/03/20,11422,11777,434,9,0
All King County,40-49,296609.58,10/28/20 - 11/03/20,6457,6662,304,12,0
All King County,50-59,270375.02,10/28/20 - 11/03/20,5948,6153,243,12,4
All King County,60-69,219475.51,10/28/20 - 11/03/20,4443,4628,150,10,2
All King County,70-79,122090.34,10/28/20 - 11/03/20,2408,2505,52,10,2
All King County,80+,61987.13,10/28/20 - 11/03/20,1392,1490,25,11,1
All King County,Unknown,0,10/28/20 - 11/03/20,37,37,1,0,0
All King County,0-9,257228.65,11/04/20 - 11/10/20,2325,2389,180,1,0
All King County,10-19,254148.03,11/04/20 - 11/10/20,4184,4409,353,1,0
All King County,20-29,207537.14,11/04/20 - 11/10/20,13219,13817,794,5,0
All King County,30-39,394262.07,11/04/20 - 11/10/20,11399,11775,664,13,0
All King County,40-49,296609.58,11/04/20 - 11/10/20,6916,7140,455,18,0
All King County,50-59,270375.02,11/04/20 - 11/10/20,6471,6688,370,25,3
All King County,60-69,219475.51,11/04/20 - 11/10/20,4585,4746,220,26,0
All King County,70-79,122090.34,11/04/20 - 11/10/20,2426,2527,87,23,3
All King County,80+,61987.13,11/04/20 - 11/10/20,1407,1501,53,22,4
All King County,Unknown,0,11/04/20 - 11/10/20,48,49,1,0,0
All King County,0-9,257228.65,11/11/20 - 11/17/20,2580,2632,257,1,0
All King County,10-19,254148.03,11/11/20 - 11/17/20,4714,4916,469,3,0
All King County,20-29,207537.14,11/11/20 - 11/17/20,15257,15914,1022,12,0
All King County,30-39,394262.07,11/11/20 - 11/17/20,14330,14877,915,19,0
All King County,40-49,296609.58,11/11/20 - 11/17/20,9023,9338,734,14,0
All King County,50-59,270375.02,11/11/20 - 11/17/20,7898,8195,503,22,0
All King County,60-69,219475.51,11/11/20 - 11/17/20,5636,5817,324,33,0
All King County,70-79,122090.34,11/11/20 - 11/17/20,2905,3024,149,33,5
All King County,80+,61987.13,11/11/20 - 11/17/20,1728,1904,96,26,8
All King County,Unknown,0,11/11/20 - 11/17/20,53,53,1,0,0
All King County,0-9,257228.65,11/18/20 - 11/24/20,3062,3111,284,2,0
All King County,10-19,254148.03,11/18/20 - 11/24/20,6258,6500,532,2,0
All King County,20-29,207537.14,11/18/20 - 11/24/20,20530,21265,1136,5,0
All King County,30-39,394262.07,11/18/20 - 11/24/20,17462,18020,1119,27,0
All King County,40-49,296609.58,11/18/20 - 11/24/20,10683,11034,822,20,0
All King County,50-59,270375.02,11/18/20 - 11/24/20,9171,9504,659,27,0
All King County,60-69,219475.51,11/18/20 - 11/24/20,6140,6396,385,49,2
All King County,70-79,122090.34,11/18/20 - 11/24/20,3063,3251,159,32,8
All King County,80+,61987.13,11/18/20 - 11/24/20,2045,2328,106,29,14
All King County,Unknown,0,11/18/20 - 11/24/20,54,54,1,0,0
All King County,0-9,257228.65,11/25/20 - 12/01/20,2169,2201,224,0,0
All King County,10-19,254148.03,11/25/20 - 12/01/20,4597,4816,458,2,0
All King County,20-29,207537.14,11/25/20 - 12/01/20,15211,15851,962,9,0
All King County,30-39,394262.07,11/25/20 - 12/01/20,13031,13400,918,17,0
All King County,40-49,296609.58,11/25/20 - 12/01/20,7578,7839,694,27,0
All King County,50-59,270375.02,11/25/20 - 12/01/20,6719,6986,552,32,4
All King County,60-69,219475.51,11/25/20 - 12/01/20,4732,4926,371,42,7
All King County,70-79,122090.34,11/25/20 - 12/01/20,2387,2506,177,38,6
All King County,80+,61987.13,11/25/20 - 12/01/20,1777,1907,124,33,17
All King County,Unknown,0,11/25/20 - 12/01/20,36,36,3,0,0
All King County,0-9,257228.65,12/02/20 - 12/08/20,2561,2610,281,0,0
All King County,10-19,254148.03,12/02/20 - 12/08/20,4828,5067,615,6,0
All King County,20-29,207537.14,12/02/20 - 12/08/20,15527,16410,1102,7,0
All King County,30-39,394262.07,12/02/20 - 12/08/20,13775,14427,1016,17,1
All King County,40-49,296609.58,12/02/20 - 12/08/20,8825,9341,794,21,2
All King County,50-59,270375.02,12/02/20 - 12/08/20,7826,8319,640,29,1
All King County,60-69,219475.51,12/02/20 - 12/08/20,5513,5927,425,50,9
All King County,70-79,122090.34,12/02/20 - 12/08/20,2854,3082,212,41,11
All King County,80+,61987.13,12/02/20 - 12/08/20,2220,2517,166,43,31
All King County,Unknown,0,12/02/20 - 12/08/20,74,75,2,0,0
All King County,0-9,257228.65,12/09/20 - 12/15/20,2150,2217,214,9,0
All King County,10-19,254148.03,12/09/20 - 12/15/20,4502,4773,435,6,0
All King County,20-29,207537.14,12/09/20 - 12/15/20,14304,15150,876,12,0
All King County,30-39,394262.07,12/09/20 - 12/15/20,12339,13037,779,21,1
All King County,40-49,296609.58,12/09/20 - 12/15/20,8060,8554,628,23,1
All King County,50-59,270375.02,12/09/20 - 12/15/20,7477,7930,541,29,3
All King County,60-69,219475.51,12/09/20 - 12/15/20,5167,5477,328,55,7
All King County,70-79,122090.34,12/09/20 - 12/15/20,2703,2872,192,50,11
All King County,80+,61987.13,12/09/20 - 12/15/20,1784,2008,142,48,32
All King County,Unknown,0,12/09/20 - 12/15/20,60,60,9,0,0
All King County,0-9,257228.65,12/16/20 - 12/22/20,2472,2524,194,1,0
All King County,10-19,254148.03,12/16/20 - 12/22/20,5038,5229,355,1,0
All King County,20-29,207537.14,12/16/20 - 12/22/20,18629,19509,769,10,0
All King County,30-39,394262.07,12/16/20 - 12/22/20,15925,16617,763,13,0
All King County,40-49,296609.58,12/16/20 - 12/22/20,9157,9631,554,22,0
All King County,50-59,270375.02,12/16/20 - 12/22/20,8247,8715,498,31,5
All King County,60-69,219475.51,12/16/20 - 12/22/20,5790,6131,352,41,7
All King County,70-79,122090.34,12/16/20 - 12/22/20,2820,2991,172,36,17
All King County,80+,61987.13,12/16/20 - 12/22/20,1761,1962,143,31,32
All King County,Unknown,0,12/16/20 - 12/22/20,42,43,2,1,0
All King County,0-9,257228.65,12/23/20 - 12/29/20,1579,1616,157,6,0
All King County,10-19,254148.03,12/23/20 - 12/29/20,3824,3962,304,3,0
All King County,20-29,207537.14,12/23/20 - 12/29/20,13259,13909,609,11,0
All King County,30-39,394262.07,12/23/20 - 12/29/20,11477,12091,570,13,0
All King County,40-49,296609.58,12/23/20 - 12/29/20,6717,7142,458,18,1
All King County,50-59,270375.02,12/23/20 - 12/29/20,6101,6477,429,19,4
All King County,60-69,219475.51,12/23/20 - 12/29/20,4139,4407,252,31,7
All King County,70-79,122090.34,12/23/20 - 12/29/20,2107,2239,138,38,12
All King County,80+,61987.13,12/23/20 - 12/29/20,1801,2111,90,25,25
All King County,Unknown,0,12/23/20 - 12/29/20,39,39,3,0,0
All King County,0-9,257228.65,12/30/20 - 01/05/21,1372,1392,207,1,0
All King County,10-19,254148.03,12/30/20 - 01/05/21,3894,3988,397,1,0
All King County,20-29,207537.14,12/30/20 - 01/05/21,10845,11152,842,21,0
All King County,30-39,394262.07,12/30/20 - 01/05/21,8356,8581,746,13,1
All King County,40-49,296609.58,12/30/20 - 01/05/21,5144,5325,572,18,1
All King County,50-59,270375.02,12/30/20 - 01/05/21,4420,4561,477,34,3
All King County,60-69,219475.51,12/30/20 - 01/05/21,3107,3197,293,39,2
All King County,70-79,122090.34,12/30/20 - 01/05/21,1593,1665,138,34,8
All King County,80+,61987.13,12/30/20 - 01/05/21,1286,1406,101,38,27
All King County,Unknown,0,12/30/20 - 01/05/21,513,515,6,1,0
